"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","Significance"
"BRINP2",1108.34317809069,-0.133064477922726,0.186763315961378,-0.712476522692729,0.476169744465772,0.771705069438653,"BRINP2","57795","Not Significant"
"ACBD6",306.178581087283,-0.0175795194360883,0.0867532987753147,-0.202638051627501,0.839417946065628,0.947351614731934,"ACBD6","84320","Not Significant"
"SMG7",1451.27209280034,0.0921192529645411,0.095619404120866,0.963394970001061,0.33534934959892,0.670891898340955,"SMG7","9887","Not Significant"
"SOAT1",323.557805397839,-0.0474597351095341,0.146774296142224,-0.323351815385616,0.74642881677186,0.908696893347169,"SOAT1","6646","Not Significant"
"RASAL2",1672.5242144988,-0.21143191162412,0.163023752644386,-1.29693929991496,0.194652072997347,0.541101185539555,"RASAL2","9462","Not Significant"
"PTGS2",88.9424981932235,-0.521225599496829,0.261281557281956,-1.99488094345044,0.0460558664050292,0.304500093675103,"PTGS2","5743","Not Significant"
"ZBTB41",837.447378799197,0.0415695328015276,0.150241764194102,0.276684269680318,0.782022551487052,0.923843475639182,"ZBTB41","360023","Not Significant"
"NEK7",917.918262646108,0.128334867234412,0.30483317370518,0.421000331671682,0.673754839669128,0.877258822084126,"NEK7","140609","Not Significant"
"PPP1R12B",2786.75165431488,-0.017327813757979,0.124757875517745,-0.138891542406189,0.889535854371296,0.965682321361067,"PPP1R12B","4660","Not Significant"
"SRGAP2D",28.9984270660508,0.2914222133995,0.200563193844635,1.45301940906091,0.146218365165267,0.480859663995251,"SRGAP2D","100996712","Not Significant"
"SRGAP2",1214.43028703957,0.257718570266879,0.145847760882626,1.76703823704419,0.0772218248627962,0.372502024324677,"SRGAP2","23380","Not Significant"
"BATF3",51.563399399792,-0.217393331323623,0.246775551950602,-0.880935447637613,0.378352760025101,0.70389164117892,"BATF3","55509","Not Significant"
"USH2A",43.8334180442596,0.0831349722860274,0.174677950954734,0.475932834290981,0.634122229259578,0.857228557015555,"USH2A","7399","Not Significant"
